CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U05110TZ1995PTC006641,SAVI EXPORTS PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,2500000.00,1000.00,1995-11-02,"33, THIRU NAGAR,YERCAUD ROAD,   HASTHAMPATTI, SALEM DIST,NA,Salem,Tamil Nadu,000000-India",Unlisted,Strike Off,tamil nadu,Indian,05110,Agriculture and Allied Activities
U05110TZ1996PTC007245,GOLDEN MAGMA EXPORTS PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,100000.00,5000.00,1996-06-03,"J.P.A COMPLEX   SARADA COLLEGE ROAD,SALEM,Salem,Tamil Nadu,636007-India",Unlisted,Strike Off,tamil nadu,Indian,05110,Agriculture and Allied Activities
U05110TZ1997PLC008123,JASBARAS EXPORTS LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Public,10000000.00,9780000.00,1997-09-29,"106/80 BIGBELL BUILDINGD.B.ROAD   R.S.PURAM,COIMBATORE - 641 002.,Coimbatore,Tamil Nadu,000000-India",Unlisted,Strike Off,tamil nadu,Indian,05110,Agriculture and Allied Activities
U05110TZ1997PTC007833,JAYAMURUGAN AGENCIES PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,500000.00,500000.00,1997-04-07,"NO 16 MEHARALI STREET MARIAN GARDEN   VELLALORE,COIMBATORE,Coimbatore,Tamil Nadu,641111-India",Unlisted,Active,tamil nadu,Indian,05110,Agriculture and Allied Activities
U05110TZ1997PTC008079,KEJ INTERNATIONAL PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,5000000.00,0.00,1997-09-04,"455/1 NATHAKKADU PIRIVUPUDUPALAYAM POST   AVINASHI TK,COIMBATORE DT,Coimbatore,Tamil Nadu,000000-India",Unlisted,Strike Off,tamil nadu,Indian,05110,Agriculture and Allied Activities
U05110TZ1998PTC008410,MASHKOS EXPORTS PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,500000.00,300000.00,1998-05-04,"15 BABUJI NAGAR1ST STREET   KHADHAR LAY  OUT,TIRUPPUR,Tamil Nadu,641602-India",Unlisted,Strike Off,tamil nadu,Indian,05110,Agriculture and Allied Activities
U05110TZ1999PTC009016,VKS AGENCIES INDIA PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,1000000.00,200030.00,1999-09-24,"31SUBRAMANIAM ROAD   RS PURAM,COIMBATORE,Tamil Nadu,641002-India",Unlisted,Active,tamil nadu,Indian,05110,Agriculture and Allied Activities
U05110TZ2000PTC009269,SPERMO APPARELS INDIA PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,500000.00,100000.00,2000-03-24,"SF NO.97 PERIANDIPALAYAM,   MANGALAM ROAD,,TIRUPUR,Coimbatore,Tamil Nadu,000000-India",Unlisted,Strike Off,tamil nadu,Indian,05110,Agriculture and Allied Activities
U05110TZ2001PTC009747,V.R.R. INDIA EXPORTS PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,1000000.00,0.00,2001-05-11,"14/1 THIRUNAGAR COLONY,ERODE.,NA,Salem,Tamil Nadu,000000-India",Unlisted,Strike Off,tamil nadu,Indian,05110,Agriculture and Allied Activities
U05150TZ1997PTC007692,ANNAI AUTO AGENCIES PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,4000000.00,4000000.00,1997-02-03,"KITTOS COMPLEXNO 361 DR.NANJAPPA ROAD   COIMBATORE,TAMILNADU,Coimbatore,Tamil Nadu,641018-India",Unlisted,Strike Off,tamil nadu,Indian,05150,Agriculture and Allied Activities
