CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U50101MH2006PTC161170,GRANULE ENTERPRISE PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,1500000.00,100000.00,2006-04-17,"Shanti Niketan, Dr.Ambedkar Road   near Lions Clinic,Matunga,Mumbai City,Maharashtra,400019-India",Unlisted,Active,maharashtra,Indian,50101,Trading
U50101PN2006PTC021796,UNIQUE AUTOMOBILES (KOP) PRIVATE LIMITED,ROC Pune,Company limited by shares,Non-government company,Private,9200000.00,7813500.00,2006-01-06,"517/1, SHIVAJI PARK,KOLHAPUR - 416 001,KOLHAPUR,Maharashtra,416001-India",Unlisted,Active,maharashtra,Indian,50101,Trading
U50101PN2013PTC146969,SYNERGY CORPS IMPEX PRIVATE LIMITED,ROC Pune,Company limited by shares,Non-government company,Private,100000.00,100000.00,2013-04-17,"A-2, Golden Orchid Soc, Plot No.136,   Chikali Pradhikaran,Pune,Pune,Maharashtra,411019-India",Unlisted,Strike Off,maharashtra,Indian,50101,Trading
U50102MH2010PTC203525,PRAJ EXIM PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,1000000.00,1000000.00,2010-05-28,"D/16,GIRIRAJ RESIDENCY   CO-OP HSG SOC LTD, V.P.ROAD,MUMBAI,Maharashtra,400004-India",Unlisted,Active,maharashtra,Indian,50102,Trading
U50102MH2012PTC229990,PROVINCIAL TRUCKING PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,70000000.00,61600000.00,2012-04-20,"BADRI MAHAL, OPP. STATE BANK OF INDIA   KINGSWAY,NAGPUR,Maharashtra,440001-India",Unlisted,Active,maharashtra,Indian,50102,Trading
U50102MH2014PTC259201,KAMLA LANDMARC MOTORBIKES (MUMBAI) PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,10000000.00,10000000.00,2014-11-10,"Shanti Vimal, Ground Floor,   Sir P.M. Road, Vile Parle (East),Mumbai,Mumbai City,Maharashtra,400057-India",Unlisted,Active,maharashtra,Indian,50102,Trading
U50102PN2012PTC144144,VITTHAL WHEELS PRIVATE LIMITED,ROC Pune,Company limited by shares,Non-government company,Private,100000.00,100000.00,2012-07-24,"A/P-NIMGAON (T), TAL-MADHA, DIST-SOLAPUR,SOLAPUR,Solapur,Maharashtra,413210-India",Unlisted,Strike Off,maharashtra,Indian,50102,Trading
U50102PN2015PTC153844,SAI SAKSHI AUTOMOTIVE BIKES PRIVATE LIMITED,ROC Pune,Company limited by shares,Non-government company,Private,100000.00,100000.00,2015-01-28,"FLAT - 102, BUILDING - D5, LUNKAD GOLD COAST   VIMAN NAGAR,PUNE,Pune,Maharashtra,411014-India",Unlisted,Strike Off,maharashtra,Indian,50102,Trading
U50103MH2002PTC137243,MODI MOTORS AGENCIES PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,20000000.00,10100000.00,2002-09-17,"Office No. 2 (Audi Showroom), Neo Vikram CHSL,   Sahakar Nagar, Opp. Star Bazaar, Andheri, West,Mumbai,Mumbai City,Maharashtra,400058-India",Unlisted,Active,maharashtra,Indian,50103,Trading
U50103MH2010PTC201180,BSS AUTOMOBILES PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,1000000.00,150000.00,2010-03-23,"PLOT NO 113, MIDC AREA   SATPUR,NASHIK,Nashik,Maharashtra,422007-India",Unlisted,Active,maharashtra,Indian,50103,Trading
U50103PN2005PTC021641,AVANTHI AUTOMOBILES PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,500000.00,100000.00,2005-12-06,"S.NO. 40/1, NAMDEO NAGAR,VADGAONSHERI   PUNE - 411 014,PUNE,Maharashtra,411014-India",Unlisted,Converted to LLP,maharashtra,Indian,50103,Trading
U50111MH2023PTC410958,STRAITS VISTA MARINE PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000.00,100000.00,2023-09-21,"OFFICE NO. 1507,,KAMDHENU COMMERZ,,Panvel,Raigarh(MH),Maharashtra,410210-India",Unlisted,Active,maharashtra,Indian,50111,"Transport, storage and Communications"
U50120MH2025PTC442431,VIGOROUS SHIPPING PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,1000000.00,200000.00,2025-03-07,"office No.611, Plot 86,,Sect-17,Thakkar Tower,Thane,Thane,Maharashtra,400703-India",Unlisted,Active,maharashtra,Indian,50120,"Transport, storage and Communications"
U50200MH1996PTC101862,D.B.WHEEL SERVICES PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000.00,2000.00,1996-08-14,"PLOT NO.A/9, RAJKUNJ CO OPHSG SOCIETY,   CHEMBUR,,MUMBAI,Maharashtra,400074-India",Unlisted,Strike Off,maharashtra,Indian,50200,Trading
U50200MH2001PTC133810,ARISTO AUTOMOBILES PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,10000000.00,100000.00,2001-10-30,"107/6 MITTAL INDUSTRIALESTATE SAB JAY BUILDING   ANDHERI KURLA RD,MUMBAI,Maharashtra,400059-India",Unlisted,Strike Off,maharashtra,Indian,50200,Trading
U50200MH2004PTC144429,JOSEPH CARDIJN AUTOMOTIVE SERVICES PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000.00,100000.00,2004-02-09,"J C I S  QUARTER  KASHABAJADHAV MARG  NAIGAON   DADAR(E),MUMBAI,Maharashtra,400014-India",Unlisted,Strike Off,maharashtra,Indian,50200,Trading
U50200PN2016PTC158256,SAI PRASAD MOTOR PRIVATE LIMITED,ROC Pune,Company limited by shares,Non-government company,Private,100000.00,100000.00,2016-02-05,"FL -2,BL-D5,LUNKAD GOLD COAST,SN-231/3A & 4   PL-1,VIMAN NAGAR,LOHEGAON,PUNE,Maharashtra,411014-India",Unlisted,Active,maharashtra,Indian,50200,Trading
U50200PN2017PTC171809,SINHAGAD TRACTORS PRIVATE LIMITED,ROC Pune,Company limited by shares,Non-government company,Private,100000.00,100000.00,2017-08-02,"At/p Nasarapur,   Tal- Bhor, Dist - Pune,Bhor,Pune,Maharashtra,412213-India",Unlisted,Active,maharashtra,Indian,50200,Trading
U50200PN2022PTC215256,BHAGYAROOP SERVICES PRIVATE LIMITED,ROC Pune,Company limited by shares,Non-government company,Private,500000.00,100000.00,2022-10-06,"C/O BHASKAR BALASAHEB KADAM   1301, KENJAL,,WAI,Satara,Maharashtra,415536-India",Unlisted,Active,maharashtra,Indian,50200,Trading
U50220MH2023PTC408886,GLORYKING MARINE AND SERVICES PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000.00,100000.00,2023-08-19,"Office No 107, Bharat Plaza,J.B. Nagar, Andheri Kurla Road,Mumbai,Mumbai,Maharashtra,400059-India",Unlisted,Active,maharashtra,Indian,50220,"Transport, storage and Communications"
U50300MH2005PTC152215,BALAJI AUTO ENGINEERS PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2005-03-28,"SHOP NO. 22, GR. FLOOR, ATUL TOWER CHSL.,   MATHURADAS EXTN. ROAD, KANDIVALI (WEST),,MUMBAI,Maharashtra,400067-India",Unlisted,Active,maharashtra,Indian,50300,Trading
U50300MH2012PTC231346,ARENG MOTORS PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000.00,100000.00,2012-05-22,"1504 - A, SETH HEIGHTS, GALAKATAWAL LANE   NEAR ASHISH CINEMA, CHEMBUR,MUMBAI,Maharashtra,400074-India",Unlisted,Strike Off,maharashtra,Indian,50300,Trading
U50300PN1996PLC100600,PINNACLE INDUSTRIES LIMITED,ROC Pune,Company limited by shares,Non-government company,Public,170000000.00,48372590.00,1996-06-27,"9 th FLOOR  PANCHSHIL TECH PARK 1,   BESIDES RAHUL THEATER, SHIVAJINAGAR,PUNE,Pune,Maharashtra,411005-India",Unlisted,Active,maharashtra,Indian,50300,Trading
U50300PN2011PTC138658,BANDEWAR TRACTORS AND EQUIPMENTS PRIVATE LIMITED,ROC Pune,Company limited by shares,Non-government company,Private,100000.00,100000.00,2011-02-24,"ANIL B. BANDEWAR   1551/4, SUBHASH NAGAR, INDIRA SMRUTI,BARSHI,Solapur,Maharashtra,413401-India",Unlisted,Strike Off,maharashtra,Indian,50300,Trading
U50300PN2013PTC148183,AUTOMECH INNOVATION PRIVATE LIMITED,ROC Pune,Company limited by shares,Non-government company,Private,100000.00,100000.00,2013-07-19,"HO NO - 3910  SHRIKRUSHNA NAGAR   TARDAL TAL- HATKANANGALE,ICHALKARANJI,Kolhapur,Maharashtra,416115-India",Unlisted,Strike Off,maharashtra,Indian,50300,Trading
U50300PN2019PTC182987,BARUNA'S BLUBRIK SOLUTIONS PRIVATE LIMITED,ROC Pune,Company limited by shares,Non-government company,Private,500000.00,100000.00,2019-03-26,"PL NO-161, VIJAY DESHMUKHNGR   FRONT OF PATRAKAR HOME,SOLAPUR,Solapur,Maharashtra,413003-India",Unlisted,Active,maharashtra,Indian,50300,Trading
U50400MH2010PTC198965,SHRI SHYAM VEHICLE AGENCY PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,3000000.00,3000000.00,2010-01-15,"MOUZA - LANZEDA PLOT NO - 1   DHANORA ROAD,GADCHIROLI,Gadchiroli,Maharashtra,442605-India",Unlisted,Active,maharashtra,Indian,50400,Trading
U50400MH2019PTC321855,BIXI DOME PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000.00,100000.00,2019-02-26,"Shop -10 Madhu Vihar CHS LTD BHD Patel   Nagar M G X RD NEW 44 FEET RD Kandivali,MUMBAI,Mumbai City,Maharashtra,400067-India",Unlisted,Active,maharashtra,Indian,50400,Trading
U50400MH2020PTC343606,PARASPARAGON PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,4000000.00,4000000.00,2020-08-10,"C/o Yadavrao Manikrao Tale Plot No. 7,   Ward No.75, Tatya Tope Nagar,Nagpur,Nagpur,Maharashtra,440015-India",Unlisted,Active,maharashtra,Indian,50400,Trading
U50400MH2020PTC350384,AADI AUTOCORP PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,1000000.00,1000000.00,2020-11-20,"337,THIRD FLOOR , BAWA TOWER,   PLT NO-78/79,SECTOR-17 VASHI,NAVI MUMBAI,MUMBAI,Mumbai City,Maharashtra,400705-India",Unlisted,Strike Off,maharashtra,Indian,50400,Trading
U50400MH2021PTC353137,FASTMECH AUTO SERVICES PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000.00,100000.00,2021-01-07,"A/304 Laxmi Towar II, Opp Ganga Complex   Bus Stop,  Pooja Nagar, Mira Road East,,Thane,Thane,Maharashtra,401107-India",Unlisted,Active,maharashtra,Indian,50400,Trading
U50400MH2021PTC355286,GAINERGY FUELLING PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000.00,10000.00,2021-02-16,"C/O HARILAL SITARAM GUPTA   AT KURANKHED MURTIZAPUR RUR,AKOLA,Akola,Maharashtra,444107-India",Unlisted,Strike Off,maharashtra,Indian,50400,Trading
U50400MH2021PTC365998,SAPTSHRUNGI FUEL PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000.00,10000.00,2021-08-17,"NAV BHARAT CHAWL NO 8 INDIRA NAGAR   SAINATH NGR GHATKOPAR,MUMBAI,Mumbai City,Maharashtra,400086-India",Unlisted,Active,maharashtra,Indian,50400,Trading
U50400MH2021PTC373241,KESAR AUTO SPARES PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,1000000.00,1000000.00,2021-12-13,"B-03,PLOT-CS 1353, PHEONIX BUILDING   DR D D SATHE MARG, PRARTHANA SAMAJ,GIRGAON,Mumbai City,Maharashtra,400004-India",Unlisted,Active,maharashtra,Indian,50400,Trading
U50400MH2022PTC382501,MOTORELA AUTOMOBILES PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,1000000.00,1000000.00,2022-05-11,"PLOT NO- F65 MIDC ANANDNAGAR RADHE   KRISHNA ENTER AMBARNATH,THANE,Thane,Maharashtra,421506-India",Unlisted,Active,maharashtra,Indian,50400,Trading
U50400PN2019PTC182517,TIRUPATI AUTOWINGS PRIVATE LIMITED,ROC Pune,Company limited by shares,Non-government company,Private,51000000.00,50100000.00,2019-02-27,"Plot No. C- 212   Chincholi, MIDC,SOLAPUR,Solapur,Maharashtra,413255-India",Unlisted,Active,maharashtra,Indian,50400,Trading
U50400PN2020OPC190272,7SPEED HIGH TECHNOLOGY (OPC) PRIVATE LIMITED,ROC Pune,Company limited by shares,Non-government company,One Person Company,100000.00,100000.00,2020-03-06,"H.No.1525,Near Shahi Jama Masjid,   Darga Galli,Sangaon Kasaba,Tal-Kagal,KOLHAPUR,Kolhapur,Maharashtra,416216-India",Unlisted,Strike Off,maharashtra,Indian,50400,Trading
U50400PN2021PTC198299,DIDDI PETROLEUM PRIVATE LIMITED,ROC Pune,Company limited by shares,Non-government company,Private,100000.00,100000.00,2021-02-04,"Flat No. 202, Alok Apartment,   SR. No. 1115 GK ROAD, Shivaji Nagar,Pune,Pune,Maharashtra,411016-India",Unlisted,Strike Off,maharashtra,Indian,50400,Trading
U50400PN2021PTC200971,FUELZING TECHNOLOGIES PRIVATE LIMITED,ROC Pune,Company limited by shares,Non-government company,Private,100000.00,10000.00,2021-05-13,"SR NO.96/3 LANDGE NAGAR,   BHOSARI HAVELI,,PUNE,Pune,Maharashtra,411039-India",Unlisted,Active,maharashtra,Indian,50400,Trading
U50400PN2021PTC207058,VELOCITY ENERGIES PRIVATE LIMITED,ROC Pune,Company limited by shares,Non-government company,Private,100000.00,10000.00,2021-12-20,"Sr No. 98/2 Flat No. 16   Vedang Apartment, Guruvihar Nasik Road,Pune,Pune,Maharashtra,411039-India",Unlisted,Active,maharashtra,Indian,50400,Trading
U50400PN2022PTC214686,AADISHAKTI AUTOMOTIVE PRIVATE LIMITED,ROC Pune,Company limited by shares,Non-government company,Private,100000.00,100000.00,2022-09-12,"FLAT NO. B-201, GAT NO 703 704 705,   APOSTROPHE CO-OP. HSG. SOCIETY, HAVELI,,PUNE,Pune,Maharashtra,412105-India",Unlisted,Active,maharashtra,Indian,50400,Trading
U50401PN2007PTC130402,SHREE MAHALAXMI CARS PRIVATE LIMITED,ROC Pune,Company limited by shares,Non-government company,Private,100000.00,0.00,2007-06-29,"KARBHARI COMPLEX, KARBHARI CIRCLE,   AT POST KASBA,,BARAMATI,Pune,Maharashtra,413102-India",Unlisted,Strike Off,maharashtra,Indian,50401,Trading
U50402MH2010PTC206306,JSH MOTORS PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,200000.00,100000.00,2010-08-06,"A/304, PADMAKUVAR CHS LTD.   HIGHLAND COMPLEX,CHARKOP VILLAGE, KANDIV,ALI (W),MUMBAI,Mumbai City,Maharashtra,400067-India",Unlisted,Strike Off,maharashtra,Indian,50402,Trading
U50403PN2022PTC212669,SWAPNAPURTI CARS PRIVATE LIMITED,ROC Pune,Company limited by shares,Non-government company,Private,100000.00,100000.00,2022-06-30,"GAT NO. 277/1, GORHE BK,   NEAR GRAMPANCHAYAT,PUNE,Pune,Maharashtra,411025-India",Unlisted,Active,maharashtra,Indian,50403,Trading
U50404MH2009PTC272043,PODDAR TRADECOM PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,1000000.00,476000.00,2009-01-15,"88 Jaideo,  near SBI Chapru Nagar   Central Avenue,Nagpur,Nagpur,Maharashtra,440008-India",Unlisted,Active,maharashtra,Indian,50404,Trading
